Month,Year,DF_market,DF_corrected,DF_uncorrected,err_corr_bp,err_uncorr_bp
229,19.0833,0.48463197,0.48463197,0.51931957,-0.000000,+346.876042
230,19.1667,0.48305924,0.48305924,0.51812448,-0.000000,+350.652348
231,19.2500,0.48149126,0.48149126,0.51693713,+0.000000,+354.458785
232,19.3333,0.47992799,0.47992799,0.51575841,+0.000000,+358.304176
233,19.4167,0.47836945,0.47836945,0.51459055,-0.000000,+362.210997
234,19.5000,0.47681560,0.47681560,0.51343089,+0.000000,+366.152903
235,19.5833,0.47526643,0.47526643,0.51227890,+0.000000,+370.124657
236,19.6667,0.47372194,0.47372194,0.51113558,+0.000000,+374.136347
237,19.7500,0.47218212,0.47218212,0.50999925,+0.000000,+378.171375
238,19.8333,0.47064693,0.47064693,0.50886864,+0.000000,+382.217095
239,19.9167,0.46911639,0.46911639,0.50774297,+0.000000,+386.265799
240,20.0000,0.46759047,0.46759047,0.50662264,+0.000000,+390.321776
241,20.0833,0.46623492,0.46623492,0.50559667,+0.000000,+393.617476
242,20.1667,0.46488433,0.46488433,0.50466551,-0.000000,+397.811849
243,20.2500,0.46353866,0.46353866,0.50374129,+0.000000,+402.026325
244,20.3333,0.46219790,0.46219790,0.50282514,+0.000000,+406.272346
245,20.4167,0.46086203,0.46086203,0.50191625,+0.000000,+410.542147
246,20.5000,0.45953103,0.45953103,0.50101491,-0.000000,+414.838845
247,20.5833,0.45820488,0.45820488,0.50012171,+0.000000,+419.168309
248,20.6667,0.45688355,0.45688355,0.49923477,+0.000000,+423.512206
249,20.7500,0.45556703,0.45556703,0.49835329,+0.000000,+427.862596
250,20.8333,0.45425531,0.45425531,0.49747495,+0.000000,+432.196454
251,20.9167,0.45294835,0.45294835,0.49660220,+0.000000,+436.538526
252,21.0000,0.45164614,0.45164614,0.49573948,+0.000000,+440.933400
253,21.0833,0.45034867,0.45034867,0.49488476,+0.000000,+445.360915
254,21.1667,0.44905590,0.44905590,0.49403553,+0.000000,+449.796267
255,21.2500,0.44776783,0.44776783,0.49319292,+0.000000,+454.250910
256,21.3333,0.44648443,0.44648443,0.49236162,+0.000000,+458.771830
257,21.4167,0.44520569,0.44520569,0.49154034,+0.000000,+463.346489
258,21.5000,0.44393158,0.44393158,0.49072474,+0.000000,+467.931583
259,21.5833,0.44266209,0.44266209,0.48991548,-0.000000,+472.533907
260,21.6667,0.44139719,0.44139719,0.48911150,+0.000000,+477.143083
261,21.7500,0.44013688,0.44013688,0.48831285,+0.000000,+481.759671
262,21.8333,0.43888113,0.43888113,0.48751942,+0.000000,+486.382945
263,21.9167,0.43762991,0.43762991,0.48673238,+0.000000,+491.024616
264,22.0000,0.43638323,0.43638323,0.48595390,-0.000000,+495.706732
265,22.0833,0.43514104,0.43514104,0.48517891,-0.000000,+500.378688
266,22.1667,0.43390335,0.43390335,0.48440538,+0.000000,+505.020293
267,22.2500,0.43267012,0.43267012,0.48363890,+0.000000,+509.687846
268,22.3333,0.43144134,0.43144134,0.48288273,+0.000000,+514.413833
269,22.4167,0.43021700,0.43021700,0.48213550,+0.000000,+519.185007
270,22.5000,0.42899707,0.42899707,0.48139489,-0.000000,+523.978219
271,22.5833,0.42778154,0.42778154,0.48066249,+0.000000,+528.809575
272,22.6667,0.42657038,0.42657038,0.47993983,-0.000000,+533.694413
273,22.7500,0.42536359,0.42536359,0.47922600,+0.000000,+538.624035
274,22.8333,0.42416114,0.42416114,0.47852305,+0.000000,+543.619097
275,22.9167,0.42296302,0.42296302,0.47782706,+0.000000,+548.640343
276,23.0000,0.42176921,0.42176921,0.47713371,+0.000000,+553.644943
277,23.0833,0.42057969,0.42057969,0.47644667,+0.000000,+558.669760
278,23.1667,0.41939444,0.41939444,0.47576692,-0.000000,+563.724810
279,23.2500,0.41821345,0.41821345,0.47509462,+0.000000,+568.811671
280,23.3333,0.41703670,0.41703670,0.47443090,+0.000000,+573.941988
281,23.4167,0.41586417,0.41586417,0.47377486,-0.000000,+579.106853
282,23.5000,0.41469585,0.41469585,0.47312631,+0.000000,+584.304560
283,23.5833,0.41353172,0.41353172,0.47248277,-0.000000,+589.510477
284,23.6667,0.41237176,0.41237176,0.47184452,+0.000000,+594.727602
285,23.7500,0.41121595,0.41121595,0.47121322,+0.000000,+599.972647
286,23.8333,0.41006428,0.41006428,0.47058691,-0.000000,+605.226230
287,23.9167,0.40891674,0.40891674,0.46996579,+0.000000,+610.490506
288,24.0000,0.40777330,0.40777330,0.46935073,+0.000000,+615.774342
289,24.0833,0.40663394,0.40663394,0.46874502,-0.000000,+621.110767
290,24.1667,0.40549866,0.40549866,0.46814766,-0.000000,+626.489992
291,24.2500,0.40436744,0.40436744,0.46755616,+0.000000,+631.887169
292,24.3333,0.40324026,0.40324026,0.46697454,+0.000000,+637.342826
293,24.4167,0.40211709,0.40211709,0.46640239,+0.000000,+642.853004
294,24.5000,0.40099794,0.40099794,0.46583868,+0.000000,+648.407378
295,24.5833,0.39988278,0.39988278,0.46528209,+0.000000,+653.993135
296,24.6667,0.39877159,0.39877159,0.46473089,+0.000000,+659.593020
297,24.7500,0.39766436,0.39766436,0.46418571,+0.000000,+665.213480
298,24.8333,0.39656108,0.39656108,0.46364798,-0.000000,+670.869012
299,24.9167,0.39546172,0.39546172,0.46311740,+0.000000,+676.556734
300,25.0000,0.39436628,0.39436628,0.46259263,-0.000000,+682.263485
301,25.0833,0.39327473,0.39327473,0.46207470,-0.000000,+687.999691
302,25.1667,0.39218707,0.39218707,0.46156338,+0.000000,+693.763136
303,25.2500,0.39110326,0.39110326,0.46105676,+0.000000,+699.534932
304,25.3333,0.39002331,0.39002331,0.46055516,+0.000000,+705.318454
305,25.4167,0.38894720,0.38894720,0.46006001,-0.000000,+711.128166
306,25.5000,0.38787490,0.38787490,0.45957145,+0.000000,+716.965495
307,25.5833,0.38680641,0.38680641,0.45909104,+0.000000,+722.846372
308,25.6667,0.38574170,0.38574170,0.45861867,-0.000000,+728.769725
309,25.7500,0.38468077,0.38468077,0.45815167,+0.000000,+734.708943
310,25.8333,0.38362360,0.38362360,0.45769123,+0.000000,+740.676251
311,25.9167,0.38257017,0.38257017,0.45723963,+0.000000,+746.694549
312,26.0000,0.38152047,0.38152047,0.45679457,+0.000000,+752.741004
313,26.0833,0.38047449,0.38047449,0.45635545,-0.000000,+758.809569
314,26.1667,0.37943220,0.37943220,0.45592598,+0.000000,+764.937767
315,26.2500,0.37839360,0.37839360,0.45550361,+0.000000,+771.100090
316,26.3333,0.37735867,0.37735867,0.45508675,+0.000000,+777.280750
317,26.4167,0.37632740,0.37632740,0.45467711,+0.000000,+783.497124
318,26.5000,0.37529977,0.37529977,0.45427250,+0.000000,+789.727316
319,26.5833,0.37427576,0.37427576,0.45387554,+0.000000,+795.997861
320,26.6667,0.37325536,0.37325536,0.45348650,+0.000000,+802.311324
321,26.7500,0.37223857,0.37223857,0.45310300,+0.000000,+808.644384
322,26.8333,0.37122535,0.37122535,0.45272840,-0.000000,+815.030477
323,26.9167,0.37021571,0.37021571,0.45236397,-0.000000,+821.482649
324,27.0000,0.36920962,0.36920962,0.45200892,+0.000000,+827.993035
